Wavelength Vacuum (um),Refractive Index,Wavelength Air (um),Energy (eV),Frequency (THz)
0.23,1.000308003,0.229929181,5.390617323,1303.44547
0.2446,1.000303036,0.2445259,5.06885521,1225.643737
0.2592,1.00029911,0.259122494,4.783340989,1156.606705
0.2738,1.000295938,0.273718996,4.528276057,1094.932279
0.2884,1.000293329,0.288315429,4.299036007,1039.502282
0.303,1.000291152,0.302911807,4.091887737,989.4140528
0.3176,1.000289313,0.317508141,3.903784585,943.9309131
0.3322,1.000287743,0.332104439,3.732215486,902.4456893
0.3468,1.000286391,0.346700708,3.575092227,864.4534544
0.3614,1.000285217,0.361296952,3.430664041,829.5308744
0.376,1.000284191,0.375893175,3.297452086,797.320367
0.3906,1.000283287,0.390489379,3.174198629,767.5178136
0.4052,1.000282488,0.405085568,3.059827207,739.8629269
0.4198,1.000281777,0.419681743,2.953411111,714.1316293
0.4344,1.000281141,0.434277907,2.854148214,690.1299678
0.449,1.00028057,0.448874059,2.761340722,667.689216
0.4636,1.000280056,0.463470202,2.674378741,646.6619025
0.4782,1.00027959,0.478066337,2.59272686,626.9185655
0.4928,1.000279168,0.492662464,2.515913118,608.3450852
0.5074,1.000278783,0.507258585,2.443519875,590.8404769
0.522,1.000278432,0.521854699,2.375176215,574.3150536
0.5366,1.00027811,0.536450808,2.310551592,558.6888893
0.5512,1.000277814,0.551046911,2.24935048,543.8905261
0.5658,1.000277542,0.56564301,2.191307855,529.8558819
0.5804,1.000277291,0.580239105,2.136185362,516.5273225
0.595,1.000277059,0.594835196,2.083768041,503.8528706
0.6096,1.000276844,0.609431283,2.033861523,491.7855282
0.6242,1.000276644,0.624027367,1.986289626,480.2826946
0.6388,1.000276458,0.638623447,1.940892274,469.3056637
0.6534,1.000276285,0.653219525,1.897523698,458.8191889
0.668,1.000276123,0.667815601,1.856050875,448.7911048
0.6826,1.000275972,0.682411673,1.81635216,439.1919982
0.6972,1.000275831,0.697007744,1.778316099,429.9949197
0.7118,1.000275698,0.711603812,1.741840383,421.1751307
0.7264,1.000275573,0.726199879,1.706830926,412.7098816
0.741,1.000275456,0.740795943,1.673201058,404.5782159
0.7556,1.000275346,0.755392006,1.64087081,396.7607967
0.7702,1.000275242,0.769988067,1.609766274,389.2397533
0.7848,1.000275144,0.784584126,1.579819042,381.9985449
0.7994,1.000275051,0.799180185,1.550965705,375.0218389
0.814,1.000274964,0.813776241,1.523147401,368.2954029
0.8286,1.000274881,0.828372296,1.496309419,361.8060077
0.8432,1.000274802,0.842968351,1.470400835,355.5413401
0.8578,1.000274728,0.857564403,1.445374195,349.4899254
0.8724,1.000274657,0.872160455,1.421185218,343.6410569
0.887,1.00027459,0.886756506,1.397792542,337.9847328
0.9016,1.000274526,0.901352555,1.37515748,332.5115994
0.9162,1.000274465,0.915948604,1.353243816,327.2128989
0.9308,1.000274407,0.930544652,1.332017602,322.0804233
0.9454,1.000274352,0.945140699,1.31144699,317.1064713
0.96,1.000274299,0.959736745,1.291502067,312.2838104
0.9746,1.000274249,0.97433279,1.272154714,307.6056413
0.9892,1.0002742,0.988928836,1.253378472,303.0655661
1.004,1.000274154,1.003724825,1.234902375,298.5980657
1.018,1.000274111,1.017721031,1.217919435,294.491609
1.033,1.000274068,1.032716965,1.200234254,290.2153514
1.048,1.000274027,1.047712898,1.183055329,286.0615057
1.062,1.00027399,1.061709102,1.167459496,282.2904501
1.077,1.000273951,1.076705036,1.151199614,278.3588282
1.091,1.000273917,1.090701238,1.136427117,274.7868543
1.106,1.000273882,1.105697169,1.121014452,271.0600886
1.121,1.000273848,1.1206931,1.106014259,267.433058
1.135,1.000273818,1.134689302,1.092371792,264.1343242
1.15,1.000273787,1.149685231,1.078123465,260.6890939
1.164,1.000273759,1.163681432,1.065156344,257.5536581
1.179,1.00027373,1.178677361,1.051604736,254.276894
1.194,1.000273702,1.193673289,1.038393622,251.0824606
1.208,1.000273677,1.207669489,1.026359259,248.1725646
1.223,1.000273651,1.222665416,1.013771042,245.1287473
1.237,1.000273627,1.236661616,1.002297481,242.3544527
1.252,1.000273603,1.251657543,0.990289125,239.450845
1.267,1.00027358,1.266653469,0.978565102,236.615989
1.281,1.000273559,1.280649667,0.967870402,234.0300219
1.296,1.000273537,1.295645593,0.956668198,231.321341
1.31,1.000273518,1.309641789,0.946444263,228.8492046
1.325,1.000273497,1.324637716,0.935729799,226.2584589
1.34,1.000273478,1.33963364,0.925255212,223.7257149
1.354,1.00027346,1.353629836,0.915688319,221.4124505
1.369,1.000273442,1.36862576,0.905655211,218.9864558
1.383,1.000273425,1.382621957,0.896487335,216.7696732
1.398,1.000273408,1.39761788,0.886868372,214.4438183
1.413,1.000273391,1.412613804,0.877453634,212.1673447
1.427,1.000273376,1.426609999,0.868845119,210.085815
1.442,1.00027336,1.441605923,0.859807201,207.9004563
1.456,1.000273346,1.455602117,0.851539824,205.9014135
1.471,1.000273331,1.47059804,0.84285655,203.8018069
1.486,1.000273317,1.485593962,0.834348576,201.7445882
1.5,1.000273304,1.499590156,0.826561323,199.8616387
1.515,1.00027329,1.514586079,0.818377547,197.8828106
1.529,1.000273278,1.528582272,0.810884228,196.0709339
1.544,1.000273265,1.543578194,0.803006467,194.1660997
1.559,1.000273253,1.558574115,0.795280298,192.2979205
1.573,1.000273242,1.572570308,0.788202152,190.5864323
1.588,1.00027323,1.587566229,0.780756917,188.7861826
1.602,1.000273219,1.601562423,0.773933823,187.1363658
1.617,1.000273208,1.616558343,0.766754474,185.4004069
1.632,1.000273197,1.631554264,0.759707098,183.6963591
1.646,1.000273188,1.645550455,0.753245434,182.1339356
1.661,1.000273177,1.660546377,0.746443097,180.4891379
1.675,1.000273168,1.674542569,0.74020417,178.9805719
1.69,1.000273158,1.689538489,0.73363431,177.391987
